COUNTRY,FATALITIES
Afghanistan,41419
Akrotiri and Dhekelia,0
Albania,0
Algeria,22
Angola,24
Anguilla,0
Antigua and Barbuda,0
Argentina,24
Armenia,2
Aruba,0
Azerbaijan,14
Bahamas,0
Bahrain,1
Bangladesh,391
Barbados,0
Belarus,0
Belize,104
Benin,37
Bermuda,0
Bolivia,36
Bosnia and Herzegovina,1
Botswana,0
Brazil,5756
British Indian Ocean Territory,0
British Virgin Islands,0
Bulgaria,0
Burkina Faso,2220
Burundi,305
Cambodia,5
Cameroon,1302
Caribbean Netherlands,0
Cayman Islands,0
Central African Republic,596
Chad,565
Chile,44
China,15
Colombia,1428
Costa Rica,10
Croatia,3
Cuba,2
Curacao,0
Cyprus,1
Democratic Republic of Congo,3818
Djibouti,4
Dominica,1
Dominican Republic,18
Ecuador,11
Egypt,1003
El Salvador,895
Equatorial Guinea,1
Eritrea,0
Ethiopia,670
Falkland Islands,0
French Guiana,0
Gabon,6
Gambia,2
Georgia,3
Ghana,43
Greece,7
Grenada,0
Guadeloupe,0
Guatemala,1115
Guinea,46
Guinea-Bissau,1
Guyana,2
Haiti,488
Honduras,1016
India,1505
Indonesia,202
Iran,466
Iraq,3487
Israel,11
Ivory Coast,46
Jamaica,281
Japan,0
Jordan,25
Kazakhstan,7
Kenya,338
Kosovo,0
Kuwait,0
Kyrgyzstan,8
Laos,1
Lebanon,22
Lesotho,5
Liberia,11
Libya,2294
Madagascar,351
Malawi,27
Malaysia,15
Mali,1873
Martinique,0
Mauritania,3
Mexico,9243
Moldova,0
Mongolia,0
Montenegro,0
Montserrat,0
Morocco,6
Mozambique,680
Myanmar,1646
Namibia,2
Nepal,48
Nicaragua,29
Niger,729
Nigeria,5943
North Korea,12
North Macedonia,0
Oman,0
Pakistan,1148
Palestine,182
Panama,2
Paraguay,25
Peru,32
Philippines,1731
Puerto Rico,150
Qatar,0
Republic of Congo,2
Romania,1
Russia,46
Rwanda,85
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
Saint-Barthelemy,0
Saint-Martin,0
Saudi Arabia,1006
Senegal,4
Serbia,1
Sierra Leone,13
Sint Maarten,0
Somalia,5029
South Africa,198
South Georgia and the South Sandwich Islands,0
South Korea,0
South Sudan,1801
Sri Lanka,304
Sudan,773
Suriname,7
Syria,15592
Taiwan,0
Tajikistan,66
Tanzania,42
Thailand,174
Togo,9
Trinidad and Tobago,181
Tunisia,30
Turkey,559
Turkmenistan,8
Turks and Caicos Islands,0
Uganda,162
Ukraine,398
United Arab Emirates,0
Uruguay,3
Uzbekistan,3
Venezuela,3262
Vietnam,1
"Virgin Islands, U.S.",0
Yemen,27858
Zambia,11
Zimbabwe,42
eSwatini,3
